Metric,conversation_id,CoT,PD,SR,MoRE
F1_Pos_Cons,1,0.5,0.5,0.5,0.5
F1_Pos_Cons,10,0.5333333333333333,0.6533333333333333,0.6133333333333333,0.5333333333333333
F1_Pos_Cons,11,0.0,0.0,0.0,0.0
F1_Pos_Cons,12,0.0,0.0,0.0,0.0
F1_Pos_Cons,13,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Pos_Cons,14,0.0,0.0,0.0,0.0
F1_Pos_Cons,15,0.0,0.0,0.0,0.0
F1_Pos_Cons,16,0.0,0.0,0.0,0.0
F1_Pos_Cons,17,0.0,0.0,0.0,0.0
F1_Pos_Cons,18,1.0,1.0,1.0,1.0
F1_Pos_Cons,19,0.0,0.0,0.0,0.0
F1_Pos_Cons,20,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Pos_Cons,21,0.25,0.25,0.25,0.25
F1_Pos_Cons,22,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
F1_Pos_Cons,23,1.0,1.0,1.0,1.0
F1_Pos_Cons,24,1.0,1.0,1.0,1.0
F1_Pos_Cons,25,0.0,0.0,0.0,0.0
F1_Pos_Cons,26,1.0,1.0,1.0,1.0
F1_Pos_Cons,28,0.0,0.0,0.0,0.0
F1_Pos_Cons,29,1.0,1.0,1.0,1.0
F1_Pos_Cons,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Pos_Cons,31,0.0,0.0,0.0,0.0
F1_Pos_Cons,32,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333
F1_Pos_Cons,33,1.0,1.0,1.0,1.0
F1_Pos_Cons,34,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
F1_Pos_Cons,35,0.0,0.0,0.0,0.0
F1_Pos_Cons,36,0.0,0.0,0.0,0.0
F1_Pos_Cons,37,0.0,0.0,0.0,0.0
F1_Pos_Cons,39,0.7407407407407407,0.737037037037037,0.7407407407407407,0.737037037037037
F1_Pos_Cons,4,0.0,0.0,0.0,0.0
F1_Pos_Cons,41,0.0,0.0,0.0,0.0
F1_Pos_Cons,42,0.0,0.0,0.0,0.0
F1_Pos_Cons,44,0.0,0.0,0.0,0.0
F1_Pos_Cons,46,0.0,0.0,0.0,0.0
F1_Pos_Cons,48,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Pos_Cons,49,1.0,1.0,1.0,1.0
F1_Pos_Cons,5,1.0,1.0,1.0,1.0
F1_Pos_Cons,55,0.5,0.5,0.5,0.5
F1_Pos_Cons,57,0.0,0.0,0.0,0.0
F1_Pos_Cons,6,0.5,0.5,0.5,0.5
F1_Pos_Cons,67,1.0,1.0,1.0,1.0
F1_Pos_Cons,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
F1_Pos_Cons,77,0.0,0.0,0.0,0.0
F1_Pos_Cons,8,0.0,0.0,0.0,0.0
F1_Pos_Cons,9,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
F1_Pos_Cons,93,0.0,0.0,0.0,0.0
F1_Pos_Cons,94,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
