conversation_id,technique,iteration,participant,restaurant,preferences,pre_answer,constraints,cons_answer,integrated,integrated_answer
9,CoT,1,A,おでんやden（おでんやでん）,"A1,A2,A4,A7",A7,None,None,"A1,A2,A4,A7",A7
9,CoT,1,A,純米酒専門YATA 新宿三丁目店（ヤタ）,"A1,A7","A7,A1",A2,A2,"A1,A7,A2","A7,A1,A2"
9,CoT,1,A,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,A7,None,None,None,A7
9,CoT,1,A,赤から 新宿東口店,A1,A7,None,None,A1,A7
9,CoT,1,A,居酒屋 四谷 なごみ,"A2,A7",None,None,None,"A2,A7",None
9,CoT,1,A,赤から 渋谷本店,None,A7,None,None,None,A7
9,CoT,1,A,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,1,A,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,1,A,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,1,A,牛たん酒場 たん之助 COMORE四谷店,"A2,A7",None,None,None,"A2,A7",None
9,CoT,1,A,赤から 赤坂TBS通り店,None,A7,None,None,None,A7
9,CoT,1,B,おでんやden（おでんやでん）,"A2,A4",A7,A2,None,"A2,A4",A7
9,CoT,1,B,純米酒専門YATA 新宿三丁目店（ヤタ）,"A2,A7",None,"A1,A4","A1,A1","A2,A7,A1,A4",A1
9,CoT,1,B,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,A7,A7,None,None,A7,A7
9,CoT,1,B,赤から 新宿東口店,None,None,A5,None,A5,None
9,CoT,1,B,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,1,B,赤から 渋谷本店,None,None,A5,None,A5,None
9,CoT,1,B,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,1,B,餃子専門店 藤井屋,A7,None,None,None,A7,None
9,CoT,1,B,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,1,B,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,1,B,赤から 赤坂TBS通り店,A7,None,A5,None,"A7,A5",None
